Packet Number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
290,1.125,4.1875,3.4375,-0.03076172,-0.07763672,0.9946289,0.1503906,-0.01708984,-0.4960938
291,0.0625,2.875,3.0625,-0.04248047,-0.05810547,0.9985352,0.1503906,-0.01708984,-0.4960938
293,0.1875,2.375,3,-0.03857422,-0.06982422,1.001953,0.1459961,-0.01953125,-0.4912109
294,0.0625,1.0625,2.75,-0.04638672,-0.07763672,0.9985352,0.1459961,-0.01953125,-0.4912109
296,1.0625,0.8125,2.4375,-0.06591797,-0.05810547,0.9672852,0.1459961,-0.01953125,-0.4912109
297,0.9375,0,2.5,-0.03857422,-0.06201172,1.029297,0.1459961,-0.01953125,-0.4912109
299,1,-0.875,2.375,-0.05810547,-0.05810547,0.9868164,0.1459961,-0.01953125,-0.4912109
300,1,-1,2.5,-0.05419922,-0.06982422,1.017578,0.1459961,-0.01953125,-0.4912109
302,0.9375,-1.5,2.8125,-0.04638672,-0.04638672,1.001953,0.1459961,-0.01953125,-0.4912109
303,0.0625,-2.1875,2.125,-0.06201172,-0.05419922,0.9985352,0.1479492,-0.02392578,-0.4985352
305,-0.5625,-2.25,2.4375,-0.05029297,-0.08154297,1.013672,0.1479492,-0.02392578,-0.4985352
306,-0.375,-2.875,2.0625,-0.04638672,-0.06201172,0.9946289,0.1479492,-0.02392578,-0.4985352
308,-0.4375,-2.6875,2.0625,-0.07373047,-0.06201172,0.9907227,0.1616211,-0.01708984,-0.5078125
309,-0.8125,-2.6875,1.75,-0.06201172,-0.06201172,1.001953,0.1616211,-0.01708984,-0.5078125
311,-0.375,-2.875,0.625,-0.04638672,-0.05419922,1.005859,0.1616211,-0.01708984,-0.5078125
312,-0.5,-3.4375,0.375,-0.03857422,-0.06201172,1.017578,0.1435547,-0.01953125,-0.5102539
314,-0.125,-3.375,-0.1875,-0.05029297,-0.07763672,1.013672,0.1435547,-0.01953125,-0.5102539
315,-0.5625,-3.0625,-0.75,-0.04248047,-0.06201172,0.9946289,0.1435547,-0.01953125,-0.5102539
317,-0.5625,-2.75,-1.4375,-0.07763672,-0.06591797,1.005859,0.1435547,-0.01953125,-0.5102539
318,-0.625,-2.75,-2,-0.06591797,-0.07373047,1.009766,0.1503906,-0.02148438,-0.5004883
320,-1.1875,-2.3125,-2.5,-0.07373047,-0.09326172,1.005859,0.1503906,-0.02148438,-0.5004883
