Roll | phi | X (deg), Pitch | theta | Y (deg), Yaw | psi | Z (deg)
79.67701,4.540971,-7.559035
79.38168,4.585186,-7.526896
79.08299,4.615806,-7.533658
78.75573,4.633673,-7.578188
78.39318,4.642073,-7.643504
78.02764,4.625726,-7.701471
77.68181,4.604441,-7.767971
77.31857,4.57557,-7.844346
76.9297,4.554934,-7.917913
76.50896,4.542106,-7.96641
76.01484,4.523133,-7.982859
75.48461,4.511961,-7.956951
74.94997,4.515706,-7.893203
74.41711,4.538356,-7.807162
73.85907,4.579741,-7.690289
73.25645,4.620241,-7.553497
72.57163,4.658352,-7.410704
71.77458,4.683802,-7.257067
70.82986,4.677056,-7.080565
69.77435,4.652073,-6.893937
68.37241,4.520329,-6.731721
66.67648,4.363148,-6.494905
64.84607,4.226667,-6.180639
62.92367,4.086815,-5.844365
60.90409,3.963789,-5.52392
58.88908,3.883472,-5.232546
56.89477,3.821421,-4.972349
54.95807,3.798699,-4.715694
53.1227,3.844454,-4.464324
51.32544,3.93673,-4.208817
49.48919,4.056419,-3.926579
47.60693,4.204669,-3.627
45.67213,4.369817,-3.362527
43.72869,4.531514,-3.193668
41.78735,4.69039,-3.113562
39.84457,4.819755,-3.152617
37.91958,4.939351,-3.262813
36.04787,5.037963,-3.404133
34.22717,5.100962,-3.62728
32.45041,5.105541,-3.903392
30.70552,5.054129,-4.156328
28.96705,4.964694,-4.369416
27.23455,4.884251,-4.504983
25.64811,4.834247,-4.533396
24.23996,4.792411,-4.49254
22.91472,4.784991,-4.417043
21.58745,4.857664,-4.320236
20.19484,4.981336,-4.212564
18.71222,5.11823,-4.106761
17.22807,5.212896,-3.983884
15.67054,5.300789,-3.83333
14.02771,5.447103,-3.658488
12.36245,5.597723,-3.511113
10.63798,5.748207,-3.407349
8.864315,5.886005,-3.29159
7.123404,5.985743,-3.150359
5.485976,6.031963,-3.034858
3.954424,6.003299,-2.967641
2.488932,5.892795,-2.961472
1.067639,5.753951,-3.010683
-0.3370547,5.601145,-3.094546
-1.773637,5.42933,-3.130755
-3.262342,5.272531,-3.074926
-4.850992,5.142531,-2.877608
-6.400213,5.105941,-2.512131
-7.843887,5.188004,-1.980602
-9.198176,5.345666,-1.308379
-10.51536,5.53533,-0.5906333
-11.73182,5.724614,0.02383936
-12.86335,5.815871,0.4326986
-13.953,5.80159,0.6335202
-14.97741,5.680603,0.6935554
-15.92834,5.543493,0.6875031
-16.863,5.421215,0.664647
-17.87145,5.323205,0.6792082
-18.89146,5.284675,0.7065579
-19.92659,5.244001,0.7558604
-20.90911,5.189821,0.9035588
-21.84642,5.113653,1.222959
-22.72293,5.017833,1.690506
-23.63578,4.949415,2.214878
-24.566,4.885586,2.719132
-25.43189,4.787766,3.110763
-26.23588,4.622161,3.336346
-27.00103,4.422754,3.401635
-27.84117,4.252994,3.370147
-28.74862,4.135036,3.308254
-29.66563,4.133192,3.264413
-30.55383,4.102099,3.265641
-31.54433,4.107852,3.330992
-32.60966,4.202927,3.474587
-33.60572,4.361461,3.681018
-34.46984,4.519156,3.959929
-35.19984,4.624769,4.299024
-35.81051,4.684666,4.638048
-36.37745,4.721205,4.901855
-36.94715,4.769114,5.058871
-37.56866,4.865909,5.116979
-38.1627,4.992699,5.060793
-38.75132,5.089472,4.910006
-39.42071,5.180775,4.723815
-40.15889,5.278498,4.53895
-40.94778,5.380023,4.341592
-41.80648,5.429731,4.170666
-42.71255,5.394509,4.078877
-43.61278,5.280039,4.057015
-44.53661,5.101327,4.108059
-45.46492,4.944188,4.237225
-46.37436,4.865207,4.432662
-47.22919,4.860423,4.650012
-48.05837,4.916466,4.819573
-48.89074,4.954298,4.925113
-49.76774,4.96819,5.002295
-50.72417,5.047972,5.090074
-51.74613,5.139812,5.236817
-52.73606,5.19539,5.433638
-53.71691,5.19655,5.647832
-54.6543,5.142413,5.814925
-55.6018,5.025574,5.902439
-56.47982,4.848386,5.930886
-57.41231,4.772396,5.927071
-58.32314,4.582438,5.988696
-59.13913,4.516698,6.041616
-60.01363,4.551899,6.163078
-60.84505,4.644031,6.362499
-61.61715,4.714999,6.596526
-62.25328,4.758818,6.812056
-63.09438,4.873333,7.042311
-63.72993,4.839478,7.374706
-64.38,4.775016,7.60508
-65.04449,4.675431,7.768527
-65.67649,4.539573,7.86603
-66.26933,4.363791,7.920874
-66.84087,4.167676,7.936238
-67.3938,4.045438,7.946782
-67.88042,3.975388,7.969799
-68.35046,3.913888,8.063952
-68.80058,3.796568,8.239768
-69.22765,3.612939,8.420395
-69.64057,3.381038,8.563799
-69.99519,3.118327,8.665329
-70.30499,2.819765,8.698536
-70.57494,2.522338,8.636991
-70.84895,2.258015,8.514498
-71.09557,2.022951,8.354076
-71.28802,1.805713,8.166608
-71.46131,1.585066,7.912196
-71.67207,1.408646,7.597121
-71.909,1.277623,7.284532
-72.11176,1.161194,7.051221
-72.29538,1.033061,6.929677
-72.52179,0.8604797,6.916472
-72.80453,0.6059437,6.97096
-73.18002,0.2710417,7.051158
-73.64861,-0.1563469,7.124752
-74.15717,-0.6514089,7.20718
-74.6312,-1.193886,7.245294
-75.09853,-1.72752,7.219542
-75.54024,-2.179111,7.128129
-75.91099,-2.479412,7.005736
-76.22279,-2.588207,6.894791
-76.48521,-2.567508,6.838921
-76.71381,-2.463525,6.839457
-76.91367,-2.32221,6.910814
-77.09608,-2.169768,7.029925
-77.25112,-2.025844,7.167404
-77.3886,-1.89252,7.280799
-77.5171,-1.741423,7.365692
-77.64832,-1.559859,7.448596
-77.76187,-1.384271,7.508033
-77.8572,-1.271675,7.540196
-77.9847,-1.238097,7.5392
-78.14454,-1.24849,7.526465
