Packet Number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
725,0.125,0.1875,-0.125,0.05224609,-0.08935547,0.9936523,-0.2167969,0.1147461,-0.4233398
726,0,-0.3125,0,0.05224609,-0.07763672,0.9897461,-0.2167969,0.1147461,-0.4233398
730,0.125,0.375,0,0.04443359,-0.06201172,0.9975586,-0.2167969,0.1147461,-0.4233398
731,0,0.25,0,0.05615234,-0.08154297,1.005371,-0.2167969,0.1147461,-0.4233398
735,0.0625,0,-0.125,0.04833984,-0.08935547,1.021484,-0.206543,0.1274414,-0.4262695
736,0.3125,0.125,-0.0625,0.03662109,-0.07763672,0.9819336,-0.206543,0.1274414,-0.4262695
740,-0.0625,0.1875,0,0.06005859,-0.07763672,0.9936523,-0.206543,0.1274414,-0.4262695
741,0,-0.125,0,0.03662109,-0.05810547,0.9858398,-0.2167969,0.1225586,-0.4287109
745,0.125,0,0.0625,0.02880859,-0.08154297,0.9975586,-0.2167969,0.1225586,-0.4287109
746,0.1875,0.125,0,0.04833984,-0.09375,0.9897461,-0.2167969,0.1225586,-0.4287109
750,0,0,-0.1875,0.07177734,-0.06982422,1.001465,-0.2197266,0.1225586,-0.4365234
751,0.1875,0,-0.0625,0.05615234,-0.09375,1.001465,-0.2197266,0.1225586,-0.4365234
755,0.0625,0,0.125,0.04833984,-0.07373047,1.005371,-0.2197266,0.1225586,-0.4365234
