Packet Number,Roll | Phi | X (degrees), Pitch | Theta | Y (degrees), Yaw | Psi | Z (degrees)
2257,-0.3036762,0.8942944,-0.3730794
2262,-0.3000097,0.8838611,-0.3555372
2267,-0.2997815,0.8524341,-0.3379671
2272,-0.3134787,0.8034921,-0.3169516
2277,-0.3341601,0.7475195,-0.295941
2282,-0.3375013,0.7125717,-0.2853684
2287,-0.3548631,0.6880817,-0.2749091
2292,-0.3618283,0.684579,-0.2714427
2297,-0.3548717,0.6915786,-0.27492
2302,-0.3549788,0.7090309,-0.2854661
2307,-0.3551073,0.733477,-0.2960341
2312,-0.3552309,0.7544261,-0.3065912
2317,-0.3553693,0.7753987,-0.3171582
2322,-0.3485059,0.7963684,-0.3276673
2327,-0.3346119,0.8208776,-0.3311396
2332,-0.3311701,0.8488741,-0.3276986
2337,-0.331214,0.8733636,-0.3242724
2342,-0.3382787,0.8978226,-0.3243985
2347,-0.3662901,0.9187358,-0.3211876
2352,-0.3873242,0.9361613,-0.3214151
2357,-0.4083975,0.957071,-0.325159
2362,-0.4189697,0.9745129,-0.3288084
2367,-0.4120756,0.9884955,-0.3357945
2373,-0.3946289,0.9920321,-0.3391534
2378,-0.3806286,0.9885769,-0.3390208
2383,-0.3736322,0.9780956,-0.3424234
2388,-0.3944865,0.9640808,-0.3320615
2393,-0.4293606,0.9395129,-0.3287656
2398,-0.4466845,0.9220323,-0.3148505
2403,-0.4675565,0.9115261,-0.3044839
2408,-0.4954618,0.9044872,-0.2976809
2413,-0.4954341,0.8939964,-0.2976353
2418,-0.488403,0.8905327,-0.2940685
2423,-0.4639392,0.8870851,-0.2973616
2428,-0.453402,0.8906374,-0.2902996
2433,-0.4882297,0.8976315,-0.2696166
2438,-0.5267472,0.8940104,-0.2768962
2443,-0.5547719,0.8904107,-0.2840919
2448,-0.5793079,0.8903136,-0.2912766
2453,-0.5968581,0.8937289,-0.2984253
2458,-0.5864573,0.8971996,-0.3088536
2463,-0.5793806,0.8972719,-0.2983069
2468,-0.5863661,0.8937566,-0.2983436
2473,-0.6038529,0.8937103,-0.2984797
2478,-0.5934794,0.8971622,-0.3124057
2483,-0.5900289,0.9041477,-0.3159119
2488,-0.5969877,0.9111587,-0.3090088
2493,-0.6004111,0.9147011,-0.2985629
2498,-0.6108662,0.911195,-0.2951304
2503,-0.6143448,0.9147017,-0.2916796
2508,-0.6247724,0.9112158,-0.2847493
2513,-0.635183,0.9007375,-0.2777795
2518,-0.6351029,0.8902857,-0.2707265
2523,-0.6420023,0.8728234,-0.2636878
2528,-0.6349225,0.858891,-0.2565621
2534,-0.6173496,0.8554906,-0.2459203
2539,-0.5963134,0.8555728,-0.2387692
2544,-0.5787745,0.8556454,-0.231644
2549,-0.5613064,0.8521673,-0.2349938
2554,-0.5472766,0.8452191,-0.231359
2559,-0.5367374,0.8347662,-0.2277351
2564,-0.533173,0.8138075,-0.2241144
2569,-0.540112,0.7858176,-0.2240317
2574,-0.5470672,0.7543138,-0.2274262
2579,-0.5574806,0.7263334,-0.2238614
2584,-0.5712993,0.7054283,-0.2028612
2589,-0.574666,0.6915218,-0.1853259
2594,-0.5711001,0.6880828,-0.1747954
2599,-0.5779687,0.688178,-0.1538536
2604,-0.5849004,0.688222,-0.1434036
2609,-0.5848925,0.6987311,-0.13996
2614,-0.5603986,0.7057729,-0.1363478
2619,-0.542903,0.716302,-0.1327927
2624,-0.5255665,0.7302145,-0.1537317
2629,-0.5048001,0.7405956,-0.1851204
2634,-0.491034,0.7509745,-0.2165513
2639,-0.4911702,0.7613905,-0.2340831
2644,-0.4982421,0.7648273,-0.2446368
2649,-0.49486,0.7542527,-0.2655521
2654,-0.4913975,0.7402277,-0.2759609
2659,-0.4843518,0.7192624,-0.2758268
2664,-0.4981156,0.6843286,-0.2547701
2669,-0.5119588,0.6458775,-0.2441896
2674,-0.5363079,0.6109042,-0.2336717
2679,-0.5676115,0.5794707,-0.2126999
2684,-0.584932,0.5445753,-0.1916265
2689,-0.5953026,0.5201696,-0.1740632
2696,-0.5917473,0.4922171,-0.1704056
2701,-0.591682,0.4677742,-0.1632848
2706,-0.5916479,0.4538043,-0.1597153
2711,-0.5777368,0.4502212,-0.1806251
2716,-0.5638368,0.4536371,-0.2015702
2721,-0.553463,0.4570175,-0.2295227
2726,-0.5605343,0.4604147,-0.2470533
2731,-0.5675847,0.46033,-0.2610698
2736,-0.5676067,0.4638097,-0.2645842
2741,-0.5745808,0.4673255,-0.2576358
2746,-0.5815399,0.47086,-0.2471907
2751,-0.5954639,0.4674053,-0.2332414
2756,-0.6024508,0.463894,-0.2332514
2761,-0.6094168,0.4569042,-0.2297453
2766,-0.6128654,0.4534563,-0.2192491
2771,-0.6093205,0.4500219,-0.2087254
2776,-0.6128247,0.4464998,-0.2122175
2781,-0.623323,0.442964,-0.2157363
2786,-0.6303442,0.4429123,-0.2227574
2791,-0.6303773,0.4393575,-0.2332295
2796,-0.6304308,0.4392804,-0.2472178
2801,-0.637436,0.4322322,-0.2541998
2806,-0.6339702,0.4286849,-0.2646585
2811,-0.6304826,0.4216606,-0.2716011
2816,-0.6339755,0.4146388,-0.2750723
2821,-0.6479638,0.414605,-0.2751227
2826,-0.6654832,0.4180189,-0.2822002
2831,-0.6759959,0.4320014,-0.2788239
2836,-0.6900147,0.4389399,-0.2824157
2841,-0.7040251,0.4423805,-0.2859876
2846,-0.7214928,0.4353426,-0.2860107
2851,-0.7249852,0.4283177,-0.2894767
2857,-0.7389742,0.4248206,-0.2860179
2862,-0.7458521,0.4073965,-0.2719328
2867,-0.7562303,0.3900252,-0.2508722
2872,-0.7596735,0.3760761,-0.2437972
2877,-0.7666219,0.3761547,-0.2298319
2882,-0.7666148,0.3726578,-0.2298085
2887,-0.7665895,0.3656873,-0.2262646
2892,-0.7596024,0.3691982,-0.2262656
2897,-0.7596321,0.3726488,-0.2332828
2902,-0.7631518,0.3725949,-0.2402882
2907,-0.7701761,0.37603,-0.2473285
2912,-0.7737353,0.3829806,-0.254389
2917,-0.7842462,0.3864302,-0.257945
2922,-0.7842498,0.3829092,-0.2614182
2927,-0.7912508,0.3758507,-0.2683873
2932,-0.7982534,0.3793311,-0.2684346
2937,-0.8122467,0.3863169,-0.2650332
2942,-0.8366991,0.3898334,-0.2546495
2947,-0.8471667,0.3898616,-0.2476908
2952,-0.8505904,0.3829898,-0.2301652
2957,-0.8505058,0.3691316,-0.2125757
2962,-0.8539001,0.3482993,-0.1914479
2967,-0.8398507,0.323895,-0.1842318
2972,-0.8327749,0.2960317,-0.1700203
2977,-0.8361623,0.2611501,-0.1557807
2982,-0.8291087,0.2227185,-0.1519894
2987,-0.8290471,0.1807802,-0.1481887
2992,-0.8255046,0.1458151,-0.1479312
2997,-0.8184826,0.1213204,-0.1512445
3002,-0.8184698,0.1143514,-0.1476976
3007,-0.8114793,0.1143357,-0.1511876
3012,-0.8114922,0.1213049,-0.1547341
3018,-0.8185084,0.1317363,-0.1618104
3023,-0.8185432,0.1562152,-0.1619853
3028,-0.8150868,0.1771522,-0.1691238
3033,-0.829089,0.1946668,-0.1622779
3038,-0.8396074,0.2050915,-0.1693664
3043,-0.850153,0.2155213,-0.1764624
3048,-0.8501596,0.2154953,-0.1799594
3053,-0.8396564,0.2119316,-0.1903996
3058,-0.8466256,0.2085005,-0.1798957
3063,-0.8465976,0.1945385,-0.1762953
3068,-0.8430624,0.1806333,-0.1656955
3073,-0.829054,0.1701881,-0.1621007
3078,-0.839497,0.1528165,-0.1445032
3083,-0.8534463,0.1354181,-0.1304036
3088,-0.8708926,0.1250933,-0.1058656
3093,-0.8848837,0.1147009,-0.09181475
3098,-0.902356,0.1112723,-0.08131345
3103,-0.9163457,0.1182843,-0.07788584
3108,-0.9198827,0.1390957,-0.09904016
3113,-0.9269249,0.1704497,-0.1132914
3118,-0.9409448,0.2019089,-0.1135706
3123,-0.9444951,0.2403149,-0.120888
3128,-0.9445327,0.275285,-0.1211763
3133,-0.9445761,0.3067292,-0.1249328
3138,-0.9480765,0.3277652,-0.1181217
3143,-0.9480602,0.34184,-0.1077463
3148,-0.9445168,0.3489816,-0.09030829
3153,-0.9479513,0.3351354,-0.07271786
3158,-0.958396,0.3247546,-0.0586725
3163,-0.9828328,0.3178674,-0.04469362
3168,-1.003772,0.3039934,-0.03064109
3173,-1.010762,0.2900035,-0.03053623
3179,-1.014253,0.2690206,-0.03035934
3184,-1.007246,0.2480714,-0.02666147
3189,-0.9862732,0.2305316,-0.03345964
3194,-0.9617952,0.2130247,-0.03676071
3199,-0.9303291,0.1989904,-0.04358282
3204,-0.8988543,0.1955057,-0.04350082
3209,-0.8813383,0.19215,-0.02595877
3214,-0.8743145,0.1887881,-0.008434992
3219,-0.8847715,0.1854521,0.01255716
3224,-0.8917486,0.1855344,0.02303704
3229,-0.8987323,0.1820936,0.03004726
3234,-0.9022465,0.1785148,0.01957804
3239,-0.8987555,0.1749898,0.01611386
3244,-0.8847558,0.178539,0.02310237
3249,-0.8672385,0.1785567,0.02662595
3254,-0.8567348,0.1856006,0.03358398
3259,-0.860218,0.192648,0.04051976
3264,-0.8707089,0.1926516,0.04050209
3269,-0.877725,0.1891896,0.04401537
3274,-0.8742306,0.1821941,0.04407451
3279,-0.8707226,0.1856045,0.03356129
3284,-0.860248,0.1890198,0.02306113
3289,-0.8567622,0.1924638,0.0160468
3294,-0.8497979,0.2028241,-0.00150415
3299,-0.8498246,0.2167082,-0.01559582
3304,-0.8498479,0.2306182,-0.02619052
3309,-0.8533328,0.2411603,-0.01928171
