Packet Number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
631,2.75,-0.375,-0.625,-0.02783203,-0.05224609,0.9780273,0.2148438,0.03857422,-0.4335938
635,2.3125,-0.1875,-0.5,0.003417969,-0.04443359,1.009277,0.2148438,0.03857422,-0.4335938
636,2.4375,-0.25,-0.5,-0.02001953,-0.05615234,1.001465,0.2148438,0.03857422,-0.4335938
640,2.25,-0.125,-0.5,-0.02783203,-0.04052734,0.9858398,0.2148438,0.03857422,-0.4335938
641,1.5625,-0.4375,-0.1875,-0.00390625,-0.04833984,0.9741211,0.2148438,0.03613281,-0.4384766
645,1.3125,-0.1875,-0.125,-0.01220703,-0.05615234,1.001465,0.2148438,0.03613281,-0.4384766
646,0.9375,-0.5,0.125,-0.00390625,-0.05615234,0.9780273,0.2148438,0.03613281,-0.4384766
650,1.25,-0.9375,0.0625,-0.01220703,-0.04833984,0.9858398,0.2148438,0.03369141,-0.4462891
651,1.5625,-1.25,0.4375,-0.03173828,-0.05615234,1.009277,0.2148438,0.03369141,-0.4462891
655,1.4375,-1.125,0.375,-0.00390625,-0.05615234,0.9780273,0.2148438,0.03369141,-0.4462891
656,1.3125,-1.25,0.1875,-0.01220703,-0.05615234,0.9936523,0.2124023,0.0234375,-0.4438477
660,1.75,-1,0.0625,-0.01220703,-0.04052734,1.016602,0.2124023,0.0234375,-0.4438477
661,1.625,-0.875,0.25,-0.02783203,-0.05224609,0.9819336,0.2124023,0.0234375,-0.4438477
665,1.75,-0.5,0.1875,-0.02392578,-0.06396484,0.9858398,0.2124023,0.0234375,-0.4438477
666,1.9375,-0.5,0.1875,-0.0078125,-0.04833984,0.9858398,0.2226563,0.02587891,-0.4589844
670,1.375,-0.1875,0.3125,-0.0078125,-0.06005859,1.016602,0.2226563,0.02587891,-0.4589844
671,1.1875,-0.4375,0.125,-0.02392578,-0.05224609,1.001465,0.2226563,0.02587891,-0.4589844
675,1.25,-0.875,0.1875,0.01123047,-0.05615234,0.9936523,0.2202148,0.03369141,-0.4414063
676,0.375,-0.8125,-0.125,-0.01611328,-0.04052734,1.001465,0.2202148,0.03369141,-0.4414063
680,0.1875,-0.6875,-0.125,-0.01611328,-0.07177734,0.9936523,0.2202148,0.03369141,-0.4414063
681,0.25,-1.0625,-0.0625,-0.01611328,-0.03662109,1.005371,0.2202148,0.03369141,-0.4414063
685,0.375,-1.0625,-0.3125,-0.01220703,-0.04443359,1.001465,0.2202148,0.03369141,-0.4414063
686,0.0625,-1.3125,0,-0.01220703,-0.04443359,0.9897461,0.2202148,0.03369141,-0.4414063
690,0.1875,-1.375,-0.3125,-0.00390625,-0.04443359,1.009277,0.2202148,0.03369141,-0.4414063
691,0.5,-1.625,-0.375,0,-0.05224609,1.009277,0.2226563,0.03613281,-0.4414063
695,0.5,-1.5625,-0.6875,0,-0.04833984,1.009277,0.2226563,0.03613281,-0.4414063
696,0.6875,-1.875,-0.875,-0.01220703,-0.04052734,0.9858398,0.2226563,0.03613281,-0.4414063
700,0.625,-2.0625,-0.875,-0.02392578,-0.05224609,0.9897461,0.2226563,0.03369141,-0.4487305
701,1.5625,-2.0625,-1.0625,-0.02001953,-0.03662109,1.009277,0.2226563,0.03369141,-0.4487305
705,1.8125,-1.9375,-1.1875,-0.00390625,-0.05615234,0.9819336,0.2226563,0.03369141,-0.4487305
706,2.5,-1.8125,-1.1875,-0.02001953,-0.06005859,1.012695,0.2226563,0.03369141,-0.4487305
710,2.6875,-1.3125,-1.4375,-0.03173828,-0.05224609,0.9936523,0.2148438,0.03369141,-0.4414063
711,2.875,-0.8125,-1.3125,-0.0078125,-0.04443359,0.9858398,0.2148438,0.03369141,-0.4414063
715,2.6875,-0.5625,-1.3125,0.007324219,-0.03662109,1.009277,0.2148438,0.03369141,-0.4414063
716,2.9375,0,-1,-0.02392578,-0.03662109,1.005371,0.2099609,0.04345703,-0.4462891
720,3.125,0.375,-1.125,-0.03173828,-0.05224609,1.005371,0.2099609,0.04345703,-0.4462891
721,2.6875,0.5625,-1,-0.00390625,-0.06005859,1.005371,0.2099609,0.04345703,-0.4462891
725,2.125,0.8125,-0.9375,0.003417969,-0.04833984,1.009277,0.2099609,0.04345703,-0.4462891
726,1.8125,1.1875,-1,-0.02001953,-0.04052734,0.9936523,0.2099609,0.04345703,-0.4462891
730,1.5,1.6875,-0.75,0,-0.06396484,1.001465,0.2099609,0.04345703,-0.4462891
731,1.5625,2.1875,-0.875,-0.02392578,-0.05224609,1.009277,0.2099609,0.04345703,-0.4462891
735,1.375,2,-0.75,-0.03173828,-0.06396484,0.9858398,0.2148438,0.03369141,-0.4438477
